Labels,contract,smart,block,chain,bitcoin,data,devic,suppli,plural,receiv,configur,privaci,applic,include,transact,financi,energi,busi,develop,network,secur,protocol,attack,user,method,hash
contract,1.00,0.86,0.47,0.48,0.46,0.49,0.49,0.49,0.49,0.50,0.50,0.50,0.52,0.50,0.49,0.49,0.50,0.50,0.54,0.46,0.48,0.49,0.49,0.50,0.49,0.48
smart,0.86,1.00,0.46,0.46,0.44,0.51,0.54,0.48,0.49,0.50,0.50,0.52,0.52,0.50,0.49,0.48,0.56,0.50,0.54,0.48,0.53,0.48,0.49,0.51,0.50,0.48
block,0.47,0.46,1.00,0.92,0.49,0.54,0.52,0.53,0.52,0.52,0.53,0.49,0.61,0.56,0.57,0.51,0.50,0.55,0.53,0.53,0.55,0.53,0.53,0.49,0.54,0.54
chain,0.48,0.46,0.92,1.00,0.47,0.54,0.51,0.69,0.50,0.50,0.52,0.50,0.62,0.54,0.55,0.51,0.50,0.56,0.54,0.52,0.55,0.51,0.51,0.48,0.53,0.51
bitcoin,0.46,0.44,0.49,0.47,1.00,0.46,0.47,0.47,0.49,0.50,0.49,0.48,0.47,0.49,0.59,0.54,0.48,0.48,0.48,0.53,0.48,0.55,0.52,0.52,0.49,0.50
data,0.49,0.51,0.54,0.54,0.46,1.00,0.52,0.49,0.52,0.52,0.50,0.60,0.51,0.52,0.50,0.47,0.48,0.50,0.50,0.51,0.55,0.48,0.48,0.56,0.55,0.53
devic,0.49,0.54,0.52,0.51,0.47,0.52,1.00,0.48,0.55,0.55,0.56,0.53,0.50,0.53,0.50,0.47,0.49,0.47,0.48,0.55,0.57,0.50,0.52,0.53,0.53,0.53
suppli,0.49,0.48,0.53,0.69,0.47,0.49,0.48,1.00,0.50,0.50,0.50,0.48,0.52,0.49,0.49,0.49,0.52,0.52,0.51,0.48,0.49,0.48,0.49,0.48,0.50,0.49
plural,0.49,0.49,0.52,0.50,0.49,0.52,0.55,0.50,1.00,0.61,0.57,0.49,0.49,0.67,0.55,0.49,0.50,0.49,0.49,0.54,0.49,0.49,0.49,0.50,0.52,0.52
receiv,0.50,0.50,0.52,0.50,0.50,0.52,0.55,0.50,0.61,1.00,0.54,0.50,0.48,0.61,0.58,0.50,0.49,0.49,0.48,0.51,0.50,0.52,0.49,0.51,0.55,0.59
configur,0.50,0.50,0.53,0.52,0.49,0.50,0.56,0.50,0.57,0.54,1.00,0.48,0.50,0.56,0.53,0.49,0.49,0.50,0.49,0.54,0.50,0.49,0.50,0.49,0.51,0.50
privaci,0.50,0.52,0.49,0.50,0.48,0.60,0.53,0.48,0.49,0.50,0.48,1.00,0.53,0.50,0.50,0.48,0.51,0.48,0.49,0.50,0.59,0.50,0.51,0.61,0.50,0.49
applic,0.52,0.52,0.61,0.62,0.47,0.51,0.50,0.52,0.49,0.48,0.50,0.53,1.00,0.52,0.47,0.51,0.49,0.53,0.58,0.49,0.53,0.49,0.48,0.51,0.51,0.49
include,0.50,0.50,0.56,0.54,0.49,0.52,0.53,0.49,0.67,0.61,0.56,0.50,0.52,1.00,0.59,0.52,0.48,0.50,0.52,0.51,0.48,0.50,0.50,0.49,0.56,0.56
transact,0.49,0.49,0.57,0.55,0.59,0.50,0.50,0.49,0.55,0.58,0.53,0.50,0.47,0.59,1.00,0.50,0.57,0.49,0.48,0.54,0.50,0.52,0.51,0.54,0.55,0.52
financi,0.49,0.48,0.51,0.51,0.54,0.47,0.47,0.49,0.49,0.50,0.49,0.48,0.51,0.52,0.50,1.00,0.49,0.55,0.55,0.48,0.47,0.48,0.49,0.47,0.50,0.49
energi,0.50,0.56,0.50,0.50,0.48,0.48,0.49,0.52,0.50,0.49,0.49,0.51,0.49,0.48,0.57,0.49,1.00,0.50,0.52,0.50,0.52,0.48,0.49,0.50,0.50,0.49
busi,0.50,0.50,0.55,0.56,0.48,0.50,0.47,0.52,0.49,0.49,0.50,0.48,0.53,0.50,0.49,0.55,0.50,1.00,0.55,0.48,0.46,0.48,0.48,0.48,0.51,0.48
develop,0.54,0.54,0.53,0.54,0.48,0.50,0.48,0.51,0.49,0.48,0.49,0.49,0.58,0.52,0.48,0.55,0.52,0.55,1.00,0.48,0.49,0.47,0.48,0.49,0.49,0.48
network,0.46,0.48,0.53,0.52,0.53,0.51,0.55,0.48,0.54,0.51,0.54,0.50,0.49,0.51,0.54,0.48,0.50,0.48,0.48,1.00,0.54,0.54,0.53,0.54,0.52,0.52
secur,0.48,0.53,0.55,0.55,0.48,0.55,0.57,0.49,0.49,0.50,0.50,0.59,0.53,0.48,0.50,0.47,0.52,0.46,0.49,0.54,1.00,0.55,0.57,0.53,0.52,0.50
protocol,0.49,0.48,0.53,0.51,0.55,0.48,0.50,0.48,0.49,0.52,0.49,0.50,0.49,0.50,0.52,0.48,0.48,0.48,0.47,0.54,0.55,1.00,0.55,0.50,0.50,0.52
attack,0.49,0.49,0.53,0.51,0.52,0.48,0.52,0.49,0.49,0.49,0.50,0.51,0.48,0.50,0.51,0.49,0.49,0.48,0.48,0.53,0.57,0.55,1.00,0.51,0.51,0.50
user,0.50,0.51,0.49,0.48,0.52,0.56,0.53,0.48,0.50,0.51,0.49,0.61,0.51,0.49,0.54,0.47,0.50,0.48,0.49,0.54,0.53,0.50,0.51,1.00,0.51,0.51
method,0.49,0.50,0.54,0.53,0.49,0.55,0.53,0.50,0.52,0.55,0.51,0.50,0.51,0.56,0.55,0.50,0.50,0.51,0.49,0.52,0.52,0.50,0.51,0.51,1.00,0.55
hash,0.48,0.48,0.54,0.51,0.50,0.53,0.53,0.49,0.52,0.59,0.50,0.49,0.49,0.56,0.52,0.49,0.49,0.48,0.48,0.52,0.50,0.52,0.50,0.51,0.55,1.00
